run_version,model_type,pred_threshold,pixel_threshold,min_area,val_iou,val_dice,val_image_precision,val_image_recall,val_image_f1,val_image_accuracy,val_pixel_precision,val_pixel_recall,val_pixel_f1,val_fp,val_fn,fp_rate,fn_rate,combined_score
v17_unet_baseline_160,unet,0.699999988079071,80,180,0.6486088564512427,0.7868559651528064,0.8389057750759878,0.9857142857142858,0.9064039408866995,0.8972972972972973,0.7726023975478652,0.8016453394509463,0.7868559651527591,53,4,0.19272727272727272,0.014285714285714285,0.7311788584411564
v17_unet_baseline_160,unet,0.699999988079071,100,80,0.6486088564512427,0.7868559651528064,0.8389057750759878,0.9857142857142858,0.9064039408866995,0.8972972972972973,0.7726023975478652,0.8016453394509463,0.7868559651527591,53,4,0.19272727272727272,0.014285714285714285,0.7311788584411564
v17_unet_baseline_160,unet,0.699999988079071,80,150,0.6486088564512427,0.7868559651528064,0.8389057750759878,0.9857142857142858,0.9064039408866995,0.8972972972972973,0.7726023975478652,0.8016453394509463,0.7868559651527591,53,4,0.19272727272727272,0.014285714285714285,0.7311788584411564
v17_unet_baseline_160,unet,0.699999988079071,80,120,0.6486088564512427,0.7868559651528064,0.8389057750759878,0.9857142857142858,0.9064039408866995,0.8972972972972973,0.7726023975478652,0.8016453394509463,0.7868559651527591,53,4,0.19272727272727272,0.014285714285714285,0.7311788584411564
v17_unet_baseline_160,unet,0.6000000238418579,100,150,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,120,180,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,140,80,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,120,150,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,160,180,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,140,150,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,140,180,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,160,80,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,80,80,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
v17_unet_baseline_160,unet,0.6000000238418579,120,100,0.6477696565165502,0.7862381176334097,0.8384146341463414,0.9821428571428571,0.9046052631578947,0.8954954954954955,0.7657290129511827,0.8078760793688696,0.7862381176333626,53,5,0.19272727272727272,0.017857142857142856,0.729831470764928
